id,feature,verdict,evidence
F19,corner rhythm (radius autocorrelation),WORKS-WEAK,"1 Hz sampling gives ~3-6 points per corner at 60-100 km/h; rhythm needs resampling by distance, not time"
F20,handedness per road segment,WORKS,sign of yaw rate gives corner direction directly; 50% of cornering points are right-hand
F22/F25,sight distance / scenic index,EXTERNAL,not in this data at all - requires OSM + DEM + land cover (as designed)
F29,crowd speed percentiles,BUILT,"crowd_v_p50 / crowd_v_p85 over 26,987 cells from 7,976 rides (2.72M points, 478,668 traversals). p50 sags where traffic really stops; p85 is the free-flow proxy."
F30,crowd lean percentiles,BUILT,"crowd_lean_p50 / crowd_lean_p90, same 26,987 cells. Pearson(demand_p90, crowd_lean_p90) = 0.892 over the 4,558 cells with >=20 rides (R2 0.80); 0.876 at >=5 rides, 0.848 at >=50."
F31,flow index,BUILT,"share of traversals with no sample below 2 m/s and speed CV <= 0.25, per cell."
F32,detour ratio,MEASURED-AND-SMALL,"Phase 2. Router built, so this is now computed, and the answer is small: across 200 routable O-D pairs 25-75 km apart the Send It detour over the pure-length route is median 1.005x, p90 1.055x, MAX 1.137x. The plan's 1.5-1.8x target is unachievable: LAMBDA saturates (lam 3,6,10,20,40,80 give the identical route) and at 18 chars deleting the shortest path's edges DISCONNECTS A from B, so there is only one corridor. What the dial does move is road identity: cell overlap p10 0.255, best pair 17% shared with +3.01 deg mean demand. See doc 14."
F33,gem detection,BUILT,"6,005 cells clear the gate (n_rides>=5, n_corners>=1, demand_p90>=10 deg); top 100 exported. Output is gitignored - it carries BMW ride coordinates."
F34,Road Pulse via VERTICAL ACCEL,DEAD,"sensorsaccelerationvertical is flat on 91% of rides, non-zero on only 2.8% of points"
F54,"temperature (on-bike, not forecast)",WORKS-BETTER,sensorsoutsidetemperature real on 95% of rides: p05=11.5 p50=22.2 p95=32.5 C - this beats a weather API
F52,rain at arrival time,PARTIAL,timestamps are REAL for example users (2021-07-23 to 2026-08-07) so a historical weather join is possible; anonymized lake timestamps are shifted and CANNOT be joined to weather
F71a,ground truth via isFavorite,PRESENT-BUT-EMPTY,the field EXISTS in BMW's schema but is False on all 101 of user A's rides - check users B and C
F71b,ground truth via plannedRoutes,WORKS,"89 GPX routes this rider deliberately planned = revealed preference, see 03_planned_routes.py"
F71c,ground truth via repeats,WORKS,54 distinct start locations for 101 rides (max 13 repeats)
F84,surprise index  log(radius_i / radius_j),WEAK-BUT-REAL,"NEW in Phase 1. Design-consistency hypothesis: hazard is the differential, not the absolute. spearman vs ABS rate: surprise +0.051, absolute demand_p90 +0.035, absolute radius_p50 -0.155. So surprise beats absolute demand but LOSES to absolute radius. Quotable effect is the decile contrast: tightening top decile 0.012 ABS/ride vs 0.002 for radius-stable = 4.89x."
F85,ride-derived road graph (edge table),BUILT-WITH-A-CAVEAT,"Phase 1. 478,234 transitions from 7,985 rides -> 38,351 edges at >=2 transitions, 21,130 nodes, LCC 93.9%. Phase 2 found the caveat: at 18 chars it is a bundle of corridors, not a network - 2,025 independent loops exist but every tested O-D pair has exactly ONE corridor. Routing runs at 16 chars (4,761 nodes, LCC 97.1%) where disjoint second paths exist at 1.35-1.38x. Also: `median_metres` is the boundary sample step (~21 m), NOT edge length - summing it understated a 42.8 km route as 10.1 km. The router uses centre-to-centre haversine instead."
F86,skill/challenge axis calibration,PROVEN,"Phase 2. rider_dna skill is peak lean PER CORNER (p95 30.2 deg); cell demand_p90 is the p90 over every sample in a cell, straights included (median 7.4 deg). Subtracting one from the other gives z = -3 network-wide and flow collapses to 0 on all 21,130 cells. calibrate_rider reads skill off the same demand_p90 column the challenge comes from, over the 360-586 cells the rider actually rode. Uses the MEDIAN, so z*=0 means the habitual road."
F87,safety gate lands on the hardest road actually ridden,PROVEN,"Phase 2. gate = skill + 2 sigma, derived from the SPREAD of the rider's road choices, lands within 3% of the p95 of those choices - independently, at two cell sizes: 18 chars 27.29 vs 26.62 deg (1.025x); 16 chars 23.01 vs 23.18 deg (0.992x). Nothing in the construction forces this. Strongest single number Phase 2 produced."
F88,friction circle / grip utilisation,BUILT,"Phase 2. grip = sqrt(tan(theta)^2 + (a_long/g)^2)/mu at mu=1.1. a_long is already in g (doc 13) and is NOT divided by 9.81 again. Rider's own p95 = 1.04; a_min/a_max clipped at 1.0 g first (raw columns reach -2.6 g, which is not a motorcycle). Cruise route asks 0.23, Send It 0.33, lateral only - both far inside the rider's demonstrated envelope."
F89,X-hour loop (use case B),BUILT,"route_loop(): Dijkstra out + a second on the TRANSPOSED graph for the time back; feasible turnarounds ranked by fit cost per second; ride out, make the used edges 6x expensive, route home so the return finds different roads. Orienteering is NP-hard so this is a heuristic and says so. 16/16 of 4 starts x {1,1.5,2,3}h succeed in 106-221 ms, budget fill 80-112%, 86-100% of cells ridden once, every loop closed on the start."
F90,posted-speed-limit compliance (OSM),PROVEN,"External source. Of 2,237 cells where OSM knows a limit, 1,172 (52%) have a crowd p85 above it, median 1.11x. Demand is therefore recomputed at the POSTED speed, tan(theta_legal) = tan(theta_crowd)*(v_limit/v_p85)^2, dropping those cells 9.67 -> 5.60 deg. 'We never recommend speeding' becomes a term in the cost function instead of a promise on a slide."
F91,BMW RED/GREEN flags from OSM tags,BUILT,"Previously inferred from telemetry, which cannot see them - a motorway and a fast country road look alike in a lean channel, gravel and tarmac look identical. Now tags: motorway/trunk 876 cells (3.2%) flow x0.45, residential/living_street 1,319 (4.9%) x0.45, unpaved/cobbled 82 (0.3%) x0.55, GREEN country road 14,710 (54.5%). 63% of cells matched a road within 80 m, median snap 6 m; the unmatched third gets no flags."
F92,cold-tarmac grip derating,NOT-REPLICATED,"sensorsoutsidetemperature is on 100% of corners, 8.5-33 C, so we tested whether these riders lean less when cold. spearman(lean_deg, temp) = -0.016 (n=5,253); lean/demand ratio vs temp +0.040; per-trip +0.224 at p=0.24 (n=29); median use-ratio 0.772 at <=12C vs 0.801 at >24C. Direction right, magnitude undetectable. mu_for_temp ships as a LABELLED engineering assumption feeding the safety readout only, never the fun score."
F93,friction circle simultaneity,CORRECTED,"Rider grip utilisation was reported as 104% of available grip - impossible. Cause: combining a corner's peak lean with that corner's peak |a_long|, which occur at different instants (brake upright on entry, lean off the brakes at the apex). The corner table has no per-sample pairing to recover simultaneity. Now lateral-only, same basis as the route's grip_lat_p95, so the two compare: rider 53%, a Send It route 33%. Per bike 48/53/58%."
F94,ROUTE tab (phase 3),BUILT,"app/route_tab.py renders both BMW use cases off service.py alone. Verified by executing the real script with streamlit.testing.v1.AppTest, not by reading it: 5 tabs, 0 exceptions, 27 rider x preset x dial combinations clean, 16 loop combinations render, refusal pins carry their reason strings, an out-of-coverage start returns the refusal sentence rather than a blank map. Served over Tailscale and fetched from the Linux box: 200 in 0.048 s."
F95,rider switch visibly moves the route,PROVEN-ON-ONE-PAIR,Doc 16 recorded that switching rider never changes the line. Measured on the wrong pair. On Kochel -> Tegernsee cell overlap between userA and bike_4e1a9d64 is 0.730 at Cruise and 0.105 at Send it - 90% different road for a different rider between the same two points - with 3/5/4 roads refused outright for the three profiles. Still true that the other two preset pairs return an identical road for all riders.
F96,0.0.0.0 bind publishes an NDA app,FIXED,"Launching with --server.address=0.0.0.0 bound every interface; Streamlit printed External URL: http://141.70.42.255:8501, a routable public address on the conference network. run_demo.sh now binds the tailnet address only - lsof shows TCP 100.80.210.100:8501 (LISTEN) and nothing else, tailnet returns 200, the public address returns 000 refused."
F97,geo stack (osmnx/geopandas/shapely/rasterio) installability,SAFE-CORRECTED,"Earlier sessions recorded this stack as too risky to install because of the GDAL build chain. Wrong. Probed in a throwaway venv, never the project venv: shapely 2.1.2, networkx 3.6.1, geopandas 1.1.4, osmnx 2.1.1, rasterio 1.5.1, pyproj 3.8.0 all install with --only-binary=:all: on Python 3.14.6 arm64, carrying GDAL 3.12.4 bundled inside the wheels, on the same numpy 2.5.3. No Homebrew GDAL and no source build. An EPSG:4326 -> EPSG:32632 round-trip was verified."
F98,Leaflet/folium as the map renderer,REJECTED,"folium emits the Leaflet library from a CDN - a minimal map with tiles=None still renders 10 external URLs including cdn.jsdelivr.net/npm/leaflet@1.9.3/dist/leaflet.js and leaflet.css - so with the network unplugged the map is blank rather than degraded, and unplugged is the hard demo requirement. Second blocker: the offline basemap is 17,345 ways / 76,116 points, which deck.gl draws as WebGL on the GPU and Leaflet would draw on the CPU. It also fixes nothing in the model. Vendoring leaflet.js locally would work but only returns us to what pydeck already does."
F99,tap-the-map to choose start and finish,POSSIBLE-BUT-PARKED,"st.pydeck_chart in Streamlit 1.63 exposes selection_mode and on_select ('ignore'|'rerun'|callable), so tap-to-pick needs no new dependency and no Leaflet; selecting a cell IS picking a point, since routing snaps to cells anyway. Parked under the UI freeze (a native mobile app is the target). Note if it is ever built: across 200 O-D pairs the median demand gain is -0.00 deg, so free-clicking proves coverage but is the wrong way to demo the dial."
F100,pitch + demo script rewrite (phase 5),REBUILT,"06_PITCH.md and 10_LIVE_DEMO.md rewritten from doc 18. Six disproved claims removed (asymmetry, ablation weights, leave-one-rider-out, 1.5-1.8x detour, three-trip-ids, time-aware weather) and all five demo beats replaced with beats that exist in route_tab.py. Slide 2 is now the gate-agreement slide, slide 6 a source ledger with no invented weights, slide 7 'what we tested and what failed'."
F101,demo beats verified against the running service,CORRECTED-TWICE,"Beats were checked by calling service.compare/route on the Mac, not by reading docs, and two written beats were wrong. (1) Lenggries -> Bad Tolz has ZERO refusals - explain() ends 'Nothing on this route crosses your safety gate' - so the red-pin line cannot be spoken there; refusals (3 roads, 24/26/27 deg vs a 23 deg gate) live on Kochel -> Tegernsee. (2) The honest 'dial barely moves the road' caption fires on Kochel -> Tegernsee (overlap 0.848, demand gain -0.17), NOT on Lenggries -> Kochel (overlap 0.246, +2.34). Also measured: Send it is FASTER than Cruise on preset 1 (40 vs 43 min over 53 vs 47 km)."
F102,Joy Meter (F1.1),WEAK,"Phase 1, doc 20. Four rate/share components (g-g envelope, lean reversals/km, throttle entropy, uninterrupted share), speed-ratio term F dropped (scores speed), loop-closure C demoted to descriptor. Pre-registered length-matched test, commutes 5-20 km vs same-length middle windows of rides >100 km, bootstrap over rides: user A AUC 0.675 [0.508,0.828] (47 vs 21), user C 0.637 [0.509,0.764] (108 vs 18). Not flagged as length (spearman joy~km +0.435 A, +0.344 C). Real telemetry: 508,183 + 535,608 trackpoints. Shown as a measurement, not routed on."
F103,lean reversals per km (F2.6),FAILS-OUT-OF-SAMPLE,"Length-matched AUC 0.681 [0.505,0.846] on user A but 0.279 [0.165,0.412] on user C - the sign flips. Commutes carry more reversals per km on C, most likely junction turns. Not a GREEN esses signal without masking urban cells."
F104,grip budget: ABS fires because grip was spent cornering (F1.3 test),REJECTED,"Naive test is circular (grip_used contains a_long, which is the braking). Honest test among hard-braking samples only (a_long <= -0.2 g): lateral grip at ABS==3 vs not. User A 7,869 samples / 53 ABS on 25 rides, AUC 0.550 [0.450,0.670]; user C 41,857 / 601 on 69 rides, AUC 0.528 [0.444,0.612]. Consistent with doc 13 (ABS orthogonal to demand). Never say the FEATURES.md grip-budget line."
F105,learned weights from planned routes (F1.2),BLOCKED-COVERAGE,Only 11 of 83 parsed planned GPX routes are >=50% inside the crowd coverage box; 11 pairs cannot fit 4 weights. Per-component AUC table (doc 20) is the replacement answer to how terms are weighted.
F106,uninterrupted share (Joy U),REPLICATED,"The one Joy component clear on both riders length-matched: AUC 0.916 [0.838,0.976] A, 0.951 [0.893,0.989] C. It is BMW's inner-city/standstill RED flag, already scored by the router via stop_rate and the OSM residential penalty - independent confirmation of an existing term."
F107,user C longitudinal acceleration channel,OPEN,"a_long p99 +1.10 g on user C vs +0.24 g on user A; clipped at 1.0 g. Sensor, unit or noise difference untested. Affects Joy E and the hard-brake threshold for user C only."
F108,road character columns in the crowd layer (Phase 2),BUILT-IDENTICAL,"doc 21. 12 new per-cell columns in 10_crowd_layer.py for _s2 and _c16 plus crowd_halves (split-half) and crowd_transitions (directed braking). Every pre-existing grid column identical (DataFrame.equals) and crowd_gems/hazards CSVs byte-identical after rebuild; 7,976 rides, 24 s per grid (was 13.8 s). Default route unchanged: headline, 0.848 overlap and 133.4/118.7/0.936 loop all identical."
F109,dwell_share,RELIABLE-BUT-REDUNDANT,"Split-half rho 0.503 [0.459,0.545] on 1,617 16-char cells (0.401 at 18 chars) - at the 0.50 bar - but spearman with stop_rate 0.917 (0.983 at 18). score_cells keeps its 1-flow_index stand-in; Phase 3 must not add dwell as a separate term."
F110,lean reversals per km at cell level (F2.6),RELIABLE,"Split-half rho 0.915 [0.903,0.927] with OSM residential masked (0.916 unmasked; only 124 residential cells). Residential median 4.16/km vs 2.64 elsewhere. rho with demand 0.55 off residential. Contrast with F103: the ride-level flip between riders is likely which roads the commutes cross, not the measurement (interpretation, untested)."
F111,FFT rhythm (F2.5),PASS,"Lean resampled every 10 m, 1.28 km Hann windows hop 160 m, 148,283 rhythmic windows. Split-half wavelength rho 0.926 [0.910,0.941]; wavelength vs yaw-channel corner radius rho 0.380 [0.334,0.422] (bar 0.30). p90 853 m is the window's resolution floor = no alternation within a km."
F112,adventure index (F2.7),PASS-NEAR-RENAME,"demand_p90/log1p(n_rides) from 3 rides. rho with demand 0.887 > rho with rarity 0.510, so rarity does not dominate - but it is mostly demand_p90 again. Top-5% cells snap to an OSM road 51% vs 64% overall."
F113,crowd-mined viewpoints (F2.8),INSUFFICIENT-DATA,"0 cells meet the pre-registered rule (>=2 mid-ride stops >=60 s, >=1 km from both trip ends, >=5% of rides, >=50 m prominence). The lake ends a trip where the rider stops: 2 of 598 probed rides have a >=2 min stop >2 km from both ends. OSM tourism=viewpoint (1,001 in box, cached) hit rates 6.7% stop-rule cells / 7.1% prominent cells / 2.8% all. Trip ends deliberately NOT used: no rider ids, indistinguishable from homes."
F114,traffic on good roads (F2.9),UNRELIABLE,"Crawl share (mean speed < half the cell's median traversal, throttle sd <= 5 %-pts, no ABS) split-half rho 0.357 [0.286,0.425] (0.320 at 18). Congestion does not recur by place in this sample and timestamps are shifted. Not passed to score_cells output, not for Phase 3."
F115,hazard readout (F2.3),REPEATABLE,"ABS code-3 rides per cell: exposure-stratified Mantel-Haenszel risk ratio across disjoint ride halves 2.89 [2.09,3.69] over 1,618 cells (51 ABS in both halves, 259 in one). In explain() as counts only ('4 of the 41 trips that ride this stretch'), >=3 rides, max 2 lines; population wording, never per cell, never 'the crowd brakes here'. Never in the fun score."
F116,surprise index vs braking (F2.10),PASS,"Direction-correct: rides entering an 18-char cell that decelerate >=0.25 g inside it (speed channel, GPS-speed rides excluded), residential/stop-heavy destinations dropped. Tightening steps (radius halves, 1,041 edges) 5.9% vs radius-stable (5,940) 1.8%; crude 3.25x, destination-radius-stratified 1.87 [1.44,2.37] (bar 1.5, CI>1). Supersedes doc 13's cell-level rho +0.051. Shown in explain() via 3,527 18-char boundaries between routing cells; fused-road risk stated."
F117,gems as a candidate pool (F2.4),EXPOSED,"service.gem_pool(): top 100 crowd gems, all graph nodes; 43 routable for user A at Flow, 57 behind the rider's gate. Pool for Phase 4 arc loop."
F118,lake morton_code decoded (Phase 3),EXACT,"doc 22. 32 base-4 digits = 2*lat bit + lon bit, y=(lat+90)/360, x=(lon+180)/360, map-matched position: 100% of 66,632 samples (20 crowd files, 10 user A rides, 10 user C rides). Not a Bing quadkey (0%). router.morton_encode(); lets user C's position-only corners take the lake's exact cell."
F119,rhythm purity leak (Phase 2 defect),FIXED,"10_crowd_layer.py counted FFT bin 1 in the numerator but not the denominator when the peak sat at bin 2: purity reached 4.73 (c16) / 8.86 (s2). Fixed; purity changed on 2,810/4,800 c16 cells (median 0.618 -> 0.537, max 0.955). Every other grid column identical, gems CSV byte-identical, every Phase 2 verdict and number identical on rerun."
F120,mode columns split-half (elevation / prominence / purity / popularity),RELIABLE,"Disjoint ride halves, >=10 traversals per half: elev_mean rho 0.993 [0.991,0.994], elev_prominence_m 0.743 [0.710,0.770] (recomputed per half), rhythm_purity 0.942 [0.931,0.950] (after F119), traversal count 0.880. First run reported popularity n=0: a test bug (same column as value and filter), fixed."
F121,user C in the rider switch,CALIBRATED,"592 shared 16-char cells, skill 10.65 deg, sigma 5.44, gate 21.53, gate agreement 1.072 (user A 1.063). Skill not distinguishable from user A (ride-bootstrap CIs A [10.53,12.26], C [8.95,11.38]). Presets: Kochel->Tegernsee Send it 100% shared with user A, so beat 3 not rewritten; Lenggries->Bad Tolz Send it 17% shared (C's gate refuses a road on A's line) - Phase 5 candidate. C's Kochel 2 h Send it loop 136.0 km / 119.3 min / 89% once."
F122,rider calibration recipe,RECIPE-SENSITIVE,"Skill from corner cells vs every cell the trackpoints touch: user A 11.40 -> 7.40 (0.72 sigma), user C 10.65 -> 7.05 (0.66 sigma); bar 0.5 sigma. Same size and direction for both riders, so a rider switch reads one ruler; the absolute skill is a property of the corner-cell definition."
F123,bike DNA archetypes (F0.4),NO-STRUCTURE,"8 bikes with >=3 usable rides (84 rides). engineMaxRpm does not identify the bike (eta2 0.084, permutation p 0.42); lean and ride length do (both p<0.001). Best 3-partition silhouette 0.32 (bar 0.50), ride-bootstrap ARI 0.24 (bar 0.70). FEATURES.md's 7,210-11,745 are two single bikes' maxima; per-bike max spans 4,754-11,745 and rises with ride count (rho 0.45). No archetype names assigned."
F124,modes v1 multiplicative (F3.2),FAIL-MECHANISM,"flow *= 1-0.5*(1-pref). Scenic column right way on 34% of changed pairs, mountain 68% (p 0.03), adventure/urban went to MORE popular roads. Diagnosed: both routes optimal in their graphs and preferences rank correctly, but the penalty lambda*L*flow*0.5*(1-pref) is zero where flow is zero; mode-only cells had base flow 0.10 vs 0.40 and lower preference in 72-74% of pairs. Replaced by an additive cost term (v2), one re-run, same test and bars."
F125,scenic mode v2 (F3.2),PASS-SMALL,"cost = L*(1+lambda*(1-flow+0.5*(1-pref))), pref = rank of elev_prominence_m. 200 O-D pairs, user A, dial 0.50: 37.5% changed (Jaccard<=0.90), prominence higher on 80% of changed pairs, sign p<0.001; median +1.2 m. km ratio median 1.00 max 1.17; mean flow -0.05. Offered by service.modes(); say 'leans towards higher ground where there is a choice', never 'takes you to the views'."
F126,mountain mode v2 (F3.2),PASS-SMALL,"pref = 2*rank(elev_mean) + rank(reversals_km, residential masked). 26% of pairs changed, elevation higher on 81%, sign p<0.001; median +2.3 m. km ratio median 1.00, max 1.29 (beyond the dial's 1.137 ceiling on its best pair); mean flow +0.00. Offered."
F127,adventure mode v2 (F3.2),FAIL,"pref = -rank(n_rides) - rank(rhythm_purity) + rank(elev_prominence_m); no demand term (adventure_index is demand, doc 21). 22% changed, fewer-ridden roads on only 41% of changed pairs (p 0.91). Not offered."
F128,urban wander mode (F3.2 / F4.5),PASS-PHASE4,"pref = -rank(n_rides) - rank(stop_rate). 30% changed, fewer rides on 78% of changed pairs (p<0.001), median 1.7 fewer rides per cell. Defined and measured; stop_rate not split-half tested; not offered until Phase 4."
F129,bike -> default mode (F3.3),DEFAULT-ONLY,"No archetypes (F123), so nothing to map; service.default_mode() returns Flow for every rider with the reason. The archetype->road-choice permutation test is in 17_riders_modes.py and did not run."
F130,mood from rpm per km/h (F3.4),FAIL,"First 10 min median rpm/(3.6 v) (bus speed, v>5 m/s) vs rest-of-ride lean p90, rides >=20 min, user A demeaned within bike. User A (33 rides, 6 bikes) rho 0.02 [-0.35,0.39]; user C (101) -0.22 [-0.39,-0.04]. FEATURES.md's 0.54 does not replicate (whole ride A -0.02, C -0.21). For user C first-10-min lean alone predicts the rest (0.53 [0.35,0.68]); not for A (-0.21). suggest_mode() answers with the verdict."
F131,rhythm match (F3.5),NOT-PERSONAL,"Rider windows from 10_crowd_layer.process_ride itself. User A 18,046 windows / 85 rides, 434.6 m; user C 23,332 / 169 rides, 401.7 m. C-A ride-median wavelength -38 m CI [-77,+6] includes 0. Residual vs the crowd's same-cell wavelength degenerate (0.0 [0,0]): wavelength coarsely resolved (20% of windows on 10 values, 17% of crowd cells identical across disjoint halves). rhythm_fit() answers with the verdict."
F132,riders' own rides inside the crowd lake,RIDES-IN-LAKE (user A only),"Added after run 1 (no random draws; all other numbers reproduced). Trip ids / file names overlap 0/100 and 0/224, but by sample fingerprint (32-digit cell + lean + rpm, 2,583,234 lake samples) 3 of user A's 100 rides are >=50% inside the lake and 18 share a sample; user C 0 of 224 (2 share a sample). User A's calibration ruler contains 3 of their own rides out of 7,976 - negligible, stated. Cannot explain F131's degenerate residual (user C shows it with none)."
F133,stop_rate split-half (Phase 4),RELIABLE,"doc 23. Disjoint ride halves, >=10 traversals per half: rho 0.511 [0.466,0.554] over 1,618 cells - just over the 0.50 bar. Halves table gained stop_rate only; both grids rebuilt identical."
F134,loop as a dramatic arc (F4.3),FAIL,"Target: warm-up 35% -> peak at 67.5% -> return 45%; RMS vs the loop's 5 km-smoothed normalised flow profile. Candidates = route_loop's ring + fitting crowd gems, both directions; must keep >=90% mean fit, distinct share >= today-5 pts, budget. Achieved (error <=0.75x today AND peak in 55-80% AND fill +-20%) on 2 of 12 (bar 9). Median error 0.39 -> 0.33; reversal won 10/12, gem turnaround 4/12; 265-494 ms. Diagnosed: only 3 of 12 loops have ANY candidate meeting both criteria, so the network caps it at 3/12; no mechanism re-run. loop() stays the answer."
F135,A->B Pareto frontier (F4.2),PASS-SHORT,"z* {0.15,0.30,0.50,0.70,0.90} x offered modes {flow,scenic,mountain}, not lambda; minutes down vs mean demand up. 200 pairs, median 6 distinct routes; >=3 non-dominated on 59.5% (bar 50%); non-Flow mode on 78.5% of fronts. Median front span +3.5 min for +0.21 deg. Front ends share a median 67% of cells (26% share >=90%); neighbouring front routes 95%. Offered by service.pareto() as 'a few minutes buys a little lean; variations on one road'. No joy share, no knee."
F136,commute upgrade (F4.6),BLOCKED-COVERAGE,"Commute-length rides (5-20 km): user A 45 (manifest km), 0 with >=50% of samples inside the crowd box; user C 106 (summed map-matched steps), 1 inside; 0 habitual (>=2 partners sharing >=50% of cells) for either. Bar 10. The routers' crowd data is not where these riders commute. Not built."
F137,urban wander (F4.5),FAIL,"1 h loops at dial 0.50, urban mode (-rank n_rides, -rank stop_rate) vs Flow, from 6 town centres in the box. Lower stop rate AND fewer rides per cell in 0 of 6 (bar 5). Identical or near-identical to Flow in Garmisch (99% shared), Miesbach (100%), Murnau (99%); Starnberg fewer stops but more-ridden roads, Weilheim the reverse. 1 h loops ride 51-78 km and leave town (residential 0-10%); RED inner-city x0.45 stays on; crowd timestamps shifted. Urban mode stays not offered."
F138,edge-disjoint return (F4.4),BUILT-EARLIER,"route_loop penalises used edges 6x on the return (doc 16); distinct share reported on every loop (86-100% on presets)."
F139,safety gate visible (F4.7),BUILT-EARLIER,"Refused edges are deleted from the graph, not made expensive, and listed with a reason in explain() and on the map (docs 14, 17)."
F140,solar and thermal scheduling (F4.8),NOT-BUILT,"T4 in FEATURES.md; out of scope by doc 19. Nothing measured, nothing claimed."
F141,full rebuild from the raw lake (Phase 5),REPRODUCED,"Crowd grids 18/16 chars, halves, transitions, 18-char edges, OSM join, gems, hazards and route_calibration.csv rebuilt identical to Phase 4 (DataFrame.equals / bytes). One difference: committed graph_edges_c16 had radius/demand/surprise NaN on every row; the rebuild fills them (6,999-8,870 of 8,929). The router does not read them at 16 chars; 21/21 baked answers identical. Doc 24 section 1."
F142,Phase 5 regression gates,PASS,Headline 1.13x/83%/+2.7 identical; Kochel->Tegernsee overlap 0.848; Kochel 2 h Send it loop 133.4 km/118.7 min/0.936; bike_4e1a9d64 switch 0.105; baked answers 21/21 identical vs the Phase 4 bake; init 12 ms.
F143,"AppTest sweep, every rider x preset x loop",PASS,"23 runs (4 riders x 3 A->B presets, users A and C x 4 loop starts at 2 h Send it, DIAL tab both ends, default): 0 exceptions, 5 tabs each. The red 'DO NOT ACT' box is the RIDER DNA tab's designed asymmetry warning. analysis/out/phase5_apptest.json."
F144,user C on Lenggries -> Bad Tolz (doc 22 candidate beat),REPRODUCED,"Send it shared road A vs C 16.7%; C's gate 21.53 deg vs A's line peak 22.38 deg, 2 cells of A's line gated for C (0 for A); C gets the 46.9 km / 7.0 deg road at both dial settings with one refusal. Staging left to the demo owner."
F145,refusal reason rounding,FIXED-STRING,"Whole-degree rounding printed 'leans 22 deg here, past your gate of 22 deg' for user C. Now one decimal ('22.4 past 21.5 (10.7 + 2 sigma)'); beat 3 pins read 24.1/26.9/26.2 past 22.6. String only; summaries identical."
F146,'dial barely moves the road' caption,FIXED-STRING,"Named one corridor as the only cause and pointed at the first preset; wrong for user C on that preset, where the gate is the cause. Reworded to name both causes; first sentence (quoted in beat 3) unchanged."
F147,THRILL DIAL centroid at Send it,CORRECTED,"AppTest: 47.16 N at z* 0.15, 46.93 N at 0.90 (docs and in-app caption said 46.88). Caption and app/README.md updated; 10_LIVE_DEMO.md left for its owner (doc 24 section 5)."
F148,pitch and demo numbers re-measured,DRIFT-FOUND,"Not rewritten, by user decision. Drifted: bake 6.1 MB (5.2), route 22/40 ms (60), loop 3 h 167 ms (150), grid rebuild 26.8 s (13.8), crowd bridge r 0.924 over 6,734 cells (0.892/4,558), bike lean p95 6.3 deg holds on 6 bikes >=100 corners not 15, 15 hard-braking events in sample (13 in the Fisher groups), lambda identical from 3 not 10, beat 2 now has 3 safety lines. Full table doc 24 section 5; analysis/out/phase5_live_measure.json."
F149,front-end API contract,WRITTEN,"docs/25_FRONTEND_API.md: every service.py call, return shapes with measured examples, offered vs verdict-note answers, explain() order (fun vs safety lines), latencies, wrapper rules (tailnet only, no data out, NaN->null, never score speed)."
